nome,partido,estado,inten??o de voto,O sr. considera que a proposta tem muitas exce??es? Se considera que sim, quais tiraria?,O sr. considera que a proposta ? rigorosa demais ao limitar as despesas? Se acha que sim, o que deve ser feito para afrouxar a regra?,observa??es,email,id
Fl?vio Arns,PSB,PR,A favor com ressalvas,,,com a ressalva de tirar dos limites de gastos do arcabou?o fiscal a complementa??o da Uni?o ao Fundeb,  que n?o estava inclu?da no projeto inicial do governo, e cuja inclus?o foi feita pelo relator. A complementa??o federal atualmente n?o entra no Teto de Gastos.,sen.flavioarns@senado.leg.br,345
Izalci Lucas,PSDB,DF,A favor com ressalvas,,,Ressalvas - Bem primeiro primeiro ponto ? o fundo constitucional do DF. Que foi uma Emenda colocada na ?ltima hora sem debate, sem discuss?o. Bras?lia ? a capital de todos os brasileiros, 40% do nosso do nosso or?amento ? do fundo constitucional, ent?o n?o d? para na semana colocar um tema t?o importante com esse. Temos que retirar isso, tem diverg?ncia. // Tamb?m essa quest?o do fundeb, que vai ser questionado no Senado, tem a quest?o da lei de responsabilidade fiscal, que por mais que falem que tem um gatilho, que tem n?o sei o qu?, n?o funciona, n?s vamos voltar, retroceder muito com rela??o ? responsabilidade fiscal. Ent?o tem muitas coisas. // H? uma expectativa de arrecadar o que eu vejo que n?o vai ter efeito, essa quest?o de vai receber 90 bilh?es com rela??o a quest?o da tributa??o dos incentivos fiscais do passado. O ministro est? contando 90 bilh?es, n?o vai acontecer. A quest?o da mudan?a do caf. Mudar a presid?ncia significa quase nada, n?o ? que vai receber tudo porque mudou o presidente do caf, ent?o tem muita muita coisa assim no que na pr?tica no mundo real que n?o vai acontecer, ent?o tem que discutir isso. ,sen.izalcilucas@senado.leg.br,4770
Jayme Campos,UNI?O,MT,A favor com ressalvas,,,,sen.jaymecampos@senado.leg.br,4531
Jorge Seif,PL,SC,A favor com ressalvas,,,,sen.jorgeseif@senado.leg.br,6342
Mara Gabrilli,PSD,SP,A favor com ressalvas,,,,sen.maragabrilli@senado.leg.br,5376
Carlos Portinho,PL,RJ,Contra,,,(61) 3303-6640 / 6613  21 997619196 Bernardo ass imp,sen.carlosportinho@senado.leg.br,5936
Damares Alves,REPUBLICANOS,DF,Contra,,,(61) 3303-3265 Natalia ass de imp 61 982114416,sen.damaresalves@senado.leg.br,6335
Dr. Samuel Ara?jo,PSD,RO,Contra,,,(61) 3303-6148,sen.drsamuelaraujo@senado.leg.br,6021
Eduardo Gir?o,NOVO,CE,Contra,,,,sen.eduardogirao@senado.leg.br,5976
Luis Carlos Heinze,PP,RS,Contra,,,,sen.luiscarlosheinze@senado.leg.br,1186
Magno Malta,PL,ES,Contra,,,,sen.magnomalta@senado.leg.br,631
Marcio Bittar,UNI?O,AC,Contra,,,,sen.marciobittar@senado.leg.br,285
Rogerio Marinho,PL,RN,Contra,,,,sen.rogeriomarinho@senado.leg.br,4694
Margareth Buzetti,PSD,MT,N?o foi encontrado,,,,sen.margarethbuzetti@senado.leg.br,6304
Mecias de Jesus,REPUBLICANOS,RR,A favor com ressalvas,,,,sen.meciasdejesus@senado.leg.br,6027
Nelsinho Trad,PSD,MS,N?o quis responder,,,,sen.nelsinhotrad@senado.leg.br,5985
Omar Aziz,PSD,AM,N?o quis responder,,,,sen.omaraziz@senado.leg.br,5525
Oriovisto Guimar?es,PODEMOS,PR,N?o quis responder,,,,sen.oriovistoguimaraes@senado.leg.br,5924
Randolfe Rodrigues,REDE,AP,A favor,,,,sen.randolferodrigues@senado.leg.br,5012
Rodrigo Cunha,UNI?O,AL,N?o foi encontrado,,,,sen.rodrigocunha@senado.leg.br,5905
Rom?rio,PL,RJ,N?o foi encontrado,,,,sen.romario@senado.leg.br,5322
Styvenson Valentim,PODEMOS,RN,N?o foi encontrado,,,,sen.styvensonvalentim@senado.leg.br,5959
Tereza Cristina,PP,MS,N?o foi encontrado,,,,sen.terezacristina@senado.leg.br,5736
Vanderlan Cardoso,PSD,GO,N?o foi encontrado,,,,sen.vanderlancardoso@senado.leg.br,5899
Veneziano Vital do R?go,MDB,PB,N?o foi encontrado,,,,sen.venezianovitaldorego@senado.leg.br,5748
Wilder Morais,PL,GO,N?o foi encontrado,,,,sen.wildermorais@senado.leg.br,5070
Zenaide Maia,PSD,RN,N?o foi encontrado,,,,sen.zenaidemaia@senado.leg.br,5783
Zequinha Marinho,PL,PA,N?o foi encontrado,,,,sen.zequinhamarinho@senado.leg.br,3806
Pl?nio Val?rio,PSDB,AM,N?o quis responder,,,Senador n?o quis antecipar voto porque ainda vai estudar a proposta, mas afirma que est? mais favor?vel ao projeto.,sen.pliniovalerio@senado.leg.br,5502
Ana Paula Lobato,PSB,MA,N?o quis responder,,,(61) 3303-2967 (98) 984048084 Antino chefe de gab,sen.anapaulalobato@senado.leg.br,6358
Angelo Coronel,PSD,BA,N?o quis responder,,,(61) 3303-6103 / 6105 (61) 992842845 Andre Giusti ass imp,sen.angelocoronel@senado.leg.br,5967
Astronauta Marcos Pontes,PL,SP,N?o quis responder,,,(61) 3303-1177 / 1797 (11) 994539209 Daniel ass imp  ,sen.astronautamarcospontes@senado.leg.br,6009
Carlos Viana,PODEMOS,MG,N?o quis responder,,,(61) 3303-3100 61 981915112 Fernando ass imp,sen.carlosviana@senado.leg.br,5990
Cid Gomes,PDT,CE,N?o quis responder,,,(61) 3303-6460 / 6399 (85) 999096136 Lucirene ass imp / N?o antecipa voto,sen.cidgomes@senado.leg.br,5973
Cleitinho,REPUBLICANOS,MG,N?o quis responder,,,(61) 3303-3811 61 982655707 Silvio,sen.cleitinho@senado.leg.br,6337
Daniella Ribeiro,PSD,PB,N?o quis responder,,,(61) 3303-6788 / 6790 61 993818220 Marcia ass de imp,sen.daniellaribeiro@senado.leg.br,5998
Dr. Hiran,PP,RR,N?o quis responder,,,(61) 3303-6251 Tiago ass leg ,sen.drhiran@senado.leg.br,5793
Eduardo Braga,MDB,AM,N?o quis responder,,,n?o antecipa voto,sen.eduardobraga@senado.leg.br,4994
Eduardo Gomes,PL,TO,N?o quis responder,,,n?o antecipa voto,sen.eduardogomes@senado.leg.br,3777
Esperidi?o Amin,PP,SC,N?o quis responder,,,,sen.esperidiaoamin@senado.leg.br,22
Fernando Dueire,MDB,PE,N?o quis responder,,,,sen.fernandodueire@senado.leg.br,5917
Fernando Farias,MDB,AL,N?o quis responder,,,,sen.fernandofarias@senado.leg.br,6345
Fl?vio Bolsonaro,PL,RJ,N?o quis responder,,,,sen.flaviobolsonaro@senado.leg.br,5894
Giordano,MDB,SP,N?o quis responder,,,,sen.giordano@senado.leg.br,6008
Hamilton Mour?o,REPUBLICANOS,RS,N?o quis responder,,,,sen.hamiltonmourao@senado.leg.br,6341
Iraj?,PSD,TO,N?o quis responder,,,,sen.iraja@senado.leg.br,5385
Ivete da Silveira,MDB,SC,N?o quis responder,,,,sen.ivetedasilveira@senado.leg.br,6010
Jader Barbalho,MDB,PA,N?o quis responder,,,,sen.jaderbarbalho@senado.leg.br,35
Jaime Bagattoli,PL,RO,N?o quis responder,,,,sen.jaimebagattoli@senado.leg.br,6340
Jussara Lima,PSD,PI,N?o quis responder,,,,sen.jussaralima@senado.leg.br,6369
La?rcio Oliveira,PP,SE,N?o quis responder,,,,sen.laerciooliveira@senado.leg.br,4811
Leila Barros,PDT,DF,N?o quis responder,,,,sen.leilabarros@senado.leg.br,5979
Lucas Barreto,PSD,AP,N?o quis responder,,,Assessoria informou que o senador n?o vai se manifestar,sen.lucasbarreto@senado.leg.br,5926
Marcos do Val,PODEMOS,ES,N?o quis responder,,,,sen.marcosdoval@senado.leg.br,5942
Otto Alencar,PSD,BA,N?o quis responder,,,Assessoria informou que o senador n?o antecipa voto. A manifesta??o dele referente a projetos ? sempre feita em plen?rio durante a vota??o da mat?ria.,sen.ottoalencar@senado.leg.br,5523
Professora Dorinha Seabra,UNI?O,TO,N?o quis responder,,,(61) 3303-5990 61 991547993 Cidiane ass imp,sen.professoradorinhaseabra@senado.leg.br,5386
Sergio Moro,UNI?O,PR,N?o quis responder,,,,sen.sergiomoro@senado.leg.br,6331
Soraya Thronicke,UNI?O,MS,N?o quis responder,,,,sen.sorayathronicke@senado.leg.br,5988
Wellington Fagundes,PL,MT,N?o quis responder,,,,sen.wellingtonfagundes@senado.leg.br,1173
